frente_m,log_area,area_const_m2,pendiente_grados,predio_join
False,False,False,False,132356
True,True,True,True,132678
False,False,False,False,133090
False,False,False,False,133141
False,False,False,False,133199
False,False,False,False,133769
False,False,False,False,134952
False,False,False,False,135268
False,False,False,False,135884
False,False,False,False,136273
False,False,False,False,136536
False,False,False,False,136558
False,False,False,False,136687
False,False,False,False,136692
False,False,False,False,137067
False,False,False,False,137663
False,False,False,False,137769
False,False,False,False,138479
False,False,False,False,138854
False,False,False,False,139241
False,False,False,False,139443
False,False,False,False,140405
False,False,False,False,140549
False,False,False,False,140556
False,False,False,False,141211
False,False,False,False,141283
False,False,False,False,141697
False,False,False,False,142414
False,False,False,False,142480
False,False,False,False,142483
False,False,False,False,142570
False,False,False,False,142595
False,False,False,False,142635
False,False,False,False,142651
False,False,False,False,142652
False,False,False,False,143099
False,False,False,False,143136
False,False,False,False,143414
False,False,False,False,143422
False,False,False,False,143540
False,False,False,False,143546
False,False,False,False,143682
False,False,False,False,143758
False,False,False,False,144470
False,False,False,False,144604
False,False,False,False,144948
False,False,False,False,146001
False,False,False,False,146538
False,False,False,False,147622
False,False,False,False,147626
False,False,False,False,147753
False,False,False,False,147804
False,False,False,False,147855
False,False,False,False,147992
False,False,False,False,148033
False,False,False,False,148108
False,False,False,False,148309
False,False,False,False,148434
False,False,False,False,148575
True,True,True,False,148762
False,False,False,False,148854
False,False,False,False,148905
False,False,False,False,150020
False,False,False,False,150366
False,False,False,False,150979
False,False,False,False,151499
False,False,False,False,151548
False,False,False,False,152340
False,False,False,False,152437
False,False,False,False,152652
False,False,False,False,153237
True,True,True,True,153404
False,False,False,False,153428
False,False,False,False,153455
False,False,False,False,153459
False,False,False,False,154108
False,False,False,False,154338
False,False,False,False,154542
False,False,False,False,154878
False,False,False,False,155003
False,False,False,False,155028
True,True,True,False,155346
False,False,False,False,155624
False,False,False,False,156026
False,False,False,False,156442
False,False,False,False,156770
False,False,False,False,156915
False,False,False,False,157108
False,False,False,False,157128
False,False,False,False,157423
False,False,False,False,157428
False,False,False,False,157444
False,False,False,False,157533
False,False,False,False,158183
False,False,False,False,158322
False,False,False,False,158599
False,False,False,False,158785
False,False,False,False,158862
False,False,False,False,158975
False,False,False,False,159173
False,False,False,False,159253
False,False,False,False,159486
False,False,False,False,159832
False,False,False,False,159948
False,False,False,False,160153
False,False,False,False,160327
False,False,False,False,160334
False,False,False,False,160357
False,False,False,False,160510
False,False,False,False,160841
False,False,False,False,160992
False,False,False,False,161003
False,False,False,False,161041
False,False,False,False,161852
False,False,False,False,162122
False,False,False,False,162432
False,False,False,False,162436
False,False,False,True,162911
False,False,False,False,162978
False,False,False,False,162994
True,True,True,False,163156
False,False,False,False,163327
False,False,False,False,163329
False,False,False,False,163380
False,False,False,False,165574
False,False,False,False,165885
False,False,False,False,165957
False,False,False,False,166019
False,False,False,False,166031
False,False,False,False,166842
False,False,False,False,167481
False,False,False,False,167750
False,False,False,False,168152
False,False,False,False,168203
False,False,False,False,168368
False,False,False,False,169052
False,False,False,False,169374
False,False,False,False,170898
False,False,False,False,171150
False,False,False,False,171187
False,False,False,False,171759
False,False,False,False,171897
False,False,False,False,171926
False,False,False,False,172497
False,False,False,False,173275
False,False,False,False,173434
False,False,False,False,175026
False,False,False,False,175193
False,False,False,False,175226
False,False,False,False,175498
False,False,False,False,176276
False,False,False,False,176324
False,False,False,False,176387
False,False,False,False,176511
False,False,False,False,176605
False,False,False,False,176847
False,False,False,False,176914
False,False,False,False,176944
False,False,False,False,177129
False,False,False,False,177132
False,False,False,False,177654
False,False,False,False,177867
False,False,False,False,178155
False,False,False,False,178278
False,False,False,False,178838
False,False,False,False,178981
False,False,False,False,179003
False,False,False,False,179018
False,False,False,False,179119
False,False,False,False,179495
False,False,False,False,179695
False,False,False,False,180726
False,False,False,False,180947
False,False,False,False,181260
False,False,False,False,181337
True,True,True,False,182127
False,False,False,False,184963
False,False,False,False,185088
True,True,True,False,185098
False,False,False,False,185286
False,False,False,False,185344
False,False,False,False,185363
False,False,False,False,185426
False,False,False,False,185971
False,False,False,False,186156
False,False,False,False,186400
False,False,False,False,187118
False,False,False,False,187681
False,False,False,False,187743
False,False,False,False,188184
False,False,False,False,188863
False,False,False,False,189836
False,False,False,False,189872
False,False,False,False,189902
False,False,False,False,189962
False,False,False,False,190472
False,False,False,False,190569
False,False,False,False,191025
False,False,False,False,191044
False,False,False,False,191056
False,False,False,False,191345
False,False,False,False,191397
False,False,False,False,191740
False,False,False,False,192042
False,False,False,False,192282
False,False,False,False,192637
False,False,False,False,192752
False,False,False,False,192894
False,False,False,False,192989
False,False,False,False,193004
False,False,False,False,193062
False,False,False,False,193162
False,False,False,False,193242
False,False,False,False,193391
False,False,False,False,193449
False,False,False,False,193898
False,False,False,False,193972
False,False,False,False,194012
False,False,False,False,194076
False,False,False,False,194181
False,False,False,False,194250
False,False,False,False,194339
False,False,False,False,194745
False,False,False,False,194780
False,False,False,False,195698
False,False,False,False,195844
False,False,False,False,195870
False,False,False,False,196478
False,False,False,False,197145
False,False,False,False,197608
True,True,True,False,197609
False,False,False,False,197664
False,False,False,False,197678
False,False,False,False,197791
False,False,False,False,198414
False,False,False,False,198808
False,False,False,False,199012
False,False,False,False,199350
False,False,False,False,200317
True,True,True,False,200327
False,False,False,False,200900
False,False,False,False,201221
False,False,False,False,201349
False,False,False,False,201483
False,False,False,False,201550
False,False,False,False,201600
False,False,False,False,201810
False,False,False,False,201839
False,False,False,False,201911
False,False,False,False,202158
False,False,False,False,202167
False,False,False,False,202433
False,False,False,False,202479
False,False,False,False,202514
False,False,False,False,202773
False,False,False,False,202776
False,False,False,False,203015
False,False,False,False,203078
False,False,False,False,203106
False,False,False,False,203453
False,False,False,False,203681
False,False,False,False,204736
False,False,False,False,204744
False,False,False,False,205417
False,False,False,False,205606
False,False,False,False,206270
False,False,False,False,206791
False,False,False,False,206967
False,False,False,False,207038
False,False,False,False,207646
False,False,False,False,207755
False,False,False,False,207995
False,False,False,False,208154
False,False,False,False,208679
False,False,False,False,208699
False,False,False,False,209109
False,False,False,False,209212
False,False,False,False,209598
False,False,False,False,209607
False,False,False,False,210025
False,False,False,False,210174
False,False,False,False,210635
